雙幣信用卡,ts0013-0008,本國國際機場貴賓室,即日起~2020/6/30,貴賓室,"
1.使用方式：3個月內(含使用當月)刷卡支付當次全額國際線機票或八成(含)以上國外旅遊團費(皆須達NT$8,000以上)，即可持台新雙幣卡免費使用桃園國際機場、高雄小港國際機場或臺中機場國際線特約貴賓室乙次。
※請向貴賓室服務人員出示您本人的台新雙幣卡、護照及當日登機證；使用華航貴賓室須出示華航登機證

2.檢核方式：持卡人自使用該服務月份往前溯及2個月(含使用當月，共計3個月)經台新銀行核對該3個月內，若持卡人以台新雙幣卡使用貴賓室服務而未以台新雙幣卡支付當次出國團費八成(含)以上或全額機票(皆須達NT$8,000以上)，本行有權逕自您台新雙幣卡帳單上收取使用費用。

3.同行貴賓優惠：
(1)桃園國際機場
華航貴賓室：每位持卡人最多邀請1位同行貴賓一起進入貴賓室，並由持卡人以台新雙幣卡付費，每位同行貴賓可享NT$800優惠價格（小孩及2歲以下嬰兒亦同）。

環亞貴賓室：限使用桃園國際機場之環亞貴賓室，每位持卡人至多邀請2位同行貴賓一起進入貴賓室，並由持卡人以台新雙幣卡現場付費，每位同行貴賓可享定價七折優惠 (各航站貴賓室定價以現場公告為準，2歲以下嬰兒免費)。

(2)臺中機場國際線
摩爾貴賓室：每位持卡人至多邀請2位同行貴賓一起進入貴賓室，並由持卡人以台新雙幣卡現場付費，每位同行貴賓可享現場價格七折優惠(各航站貴賓室定價以現場公告為準，2歲以下嬰兒免費)。

(3)高雄小港機場
摩爾貴賓室：每位持卡人至多邀請2位同行貴賓一起進入貴賓室，並由持卡人以台新雙幣卡現場付費，每位同行貴賓可享現場價格七折優惠(各航站貴賓室定價以現場公告為準，2歲以下嬰兒免費)。"
雙幣信用卡,ts0013-0009,免費機場外圍停車10天,即日起~2020/6/30,停車優惠,"活動內容：
台新雙幣卡持卡人符合以下消費門檻者，於進場和取車時出示台新雙幣卡及出國證明文件（限：護照、機票或登機證），完成過卡檢核程序，即可享全年不限次數、當次最多10天之免費停車優惠。

消費門檻：符合下列任一項條件即可免費使用
1. 3個月內(含使用當月)支付當次八成(含)以上國外團費或全額國際線機票(金額須達NT$8,000以上)
2. 使用月份之前月消費滿NT$20,000
3. 使用月份之前3個月總消費滿NT$50,000
註: 使用月份指客戶使用機場停車權益之出場日的月份。"
雙幣信用卡,ts0013-0010,高額旅遊平安險,即日起~2020/12/31,旅遊平安險,"只要您使用台新雙幣卡刷卡支付八成(含)以上之團費或全部公共交通費用，即可在旅遊期間享有：
? 旅遊平安險：最高NT$3,000萬
? 海外旅遊全程保障保險：最高NT$1,000萬
? 海外旅遊全程保障保險之傷害醫療保險金：最高NT$100萬
? 高額旅遊不便險：最高NT$8萬，包括班機延誤、行李延誤、行李遺失、劫機險等一系列保障"
雙幣信用卡,ts0013-0011,環宇尊榮禮遇通關服務,即日起~2020/12/31,機場禮遇,"環宇商務中心提供之專屬機場禮遇，為桃園國際機場首度提供之機場通關服務，台新銀行特別提供台新雙幣卡貴賓以扣抵消費累積或部份自付額方式享有此項頂級禮遇，貴賓須依活動辦法提出申請，出境貴賓於班機 起飛前一個小時到現場完成相關出境程序，或入境貴賓於班機抵達後，皆可享有現場各式餐飲與設備服務，滿足 持卡貴賓快速出入境、隱私保密服務的頂級禮遇

【優惠方式】 

台新雙幣卡可以累積消費額NT$300,000或累積消費額NT$50,000+自付額NT$3,000或自付優惠價 NT$3,600，享環宇商務中心提供之桃園國際機場專屬機場禮遇出境或入境服務乙次，專享尊榮禮遇通關、專屬秘書 服務、各式調酒與中西美食、專屬私人空間、健身樂活等禮賓服務。 註1：消費累積額不足扣抵者，該次優惠將全額改列於信用卡帳單揭露帳款NT$3,600。 註2：本優惠限持卡人本人使用；一年開放一次同行親友共享優惠，但僅限當次攜帶同行友人未逾4人，如有超逾，非持卡人本人之使用費為NT$9,800。"
雙幣信用卡,ts0013-0012,高鐵乘車優惠,2020/1/1-2020/12/31,"高鐵優惠
","[高鐵商務車廂升等優惠]：台新雙幣卡尊享以扣抵累積消費額升等高鐵商務車廂優惠乙次。
"
雙幣信用卡,ts0013-0013,高鐵乘車優惠,2020/1/1-2020/12/31,"高鐵優惠
",[高鐵票價折抵優惠]：台新雙幣卡尊享以扣抵累積消費額每NT$500折抵高鐵票價NT$5。
雙幣信用卡,ts0013-0014,機場接送服務,即日起~2020/12/31,機場接送,"扣累積消費額60,000，可兌換接送"
雙幣信用卡,ts0013-0015,道路救援服務,即日起~2020/12/31,道路救援,"
只要您事先完成道路救援車輛登錄，於卡片有效期間內，即可享有會員專屬24小時道路救援服務。

1.一般平面道路免費拖吊服務：汽車發生故障或事故致無法行駛時，提供自故障地點起平面拖吊50公里以內至持卡人指定車廠之免費拖吊服務。

2.國道/高架橋/快速道路免費拖吊服務：汽車於本路段發生故障或事故致無法行駛時，僅提供基本起拖費用1500元/10公里免費服務，基本起拖費用超過1500元/10公里者，差額由持卡人負擔自費。

3.免費急修服務：接電啟動、代送燃油、送水、換胎充氣"
雙幣信用卡,ts0013-0016,刷卡消費簡訊,即日起-2020/2/29,消費簡訊,活動內容：可依照您的需求設定每筆、單筆滿NT$3千以上或單筆滿NT$1萬元以上發送刷卡消費簡訊至您的行動電話，嚴謹的交易控管，讓您用卡更安心。
雙幣信用卡,ts0013-0017,,,,
雙幣信用卡,ts0013-0018,,,,
雙幣信用卡,ts0013-0019,,,,
尊爵世界卡,ts0014-0001,暢意揮杆,即日起~2020/12/31,高爾夫球場優惠,"
    1. 尊享平日週一~週五至龍潭、大屯、藍鷹等球場會員優惠擊球價
    2. 全臺8家球場平假日優惠擊球價
"
尊爵世界卡,ts0014-0002,美饌饗宴,即日起~2020/12/31,"餐廳優惠
",台新尊爵世界卡尊享全臺頂級餐廳75折起優惠，邀您共享美饌饗宴。
尊爵世界卡,ts0014-0003,環宇尊榮禮遇通關服務,即日起~2020/12/31,機場禮遇,環宇商務中心提供之專屬機場禮遇，為桃園國際機場首度提供之機場通關服務，台新銀行特別提供台新尊爵世界卡貴賓以扣抵消費累積或部份自付額方式享有此項頂級禮遇，貴賓須依活動辦法提出申請，出境貴賓於班機起飛前一個小時到現場完成相關出境程序，或入境貴賓於班機抵達後，皆可享有現場各式餐飲與設備服務，滿足持卡貴賓快速出入境、隱私保密服務的頂級禮遇。
尊爵世界卡,ts0014-0004,MasterCard世界卡優惠,,,
